;nome;cpf;email;endereco;bairro;estado;estado_nome;sigla;telefone;pais;code;cartao_cred;cartao_num;credt_exp;cvv;data;data_hora;digtap_ptcao
68;Carlos Eduardo Pires;892.461.750-85;luna16@example.net;"Passarela Maria Vitória Ribeiro, 14
Maria Goretti
02933557 Barbosa do Oeste / RJ";Bairro Das Indústrias Ii;('GO', 'Goiás');Mato Grosso do Sul;MS;+55 74 9 4328-6608;Quênia;BE;"Mastercard
Luiza Pereira
2222109807346405 01/30
CVV: 602
";6534193598964984;02/32;797;1990-05-16;1996-03-01 03:43:42;2025-07-31
69;Sra. Lavínia Pires;061.345.827-35;agatha06@example.org;"Trecho Samuel Pinto
Brasil Industrial
06663305 Peixoto / AP";Vila Maloca;('DF', 'Distrito Federal');Rio Grande do Norte;GO;+55 (09) 9 3144 2479;Geórgia do Sul e Sandwich do Sul;BA;"Diners Club / Carte Blanche
Luiz Felipe Sales
30314296029605 01/32
CVC: 896
";4060589835867;02/29;8423;2009-06-16;1993-03-17 09:09:48;2025-07-31
70;Thales Freitas;012.683.594-24;imendes@example.net;"Colônia Elisa Pires, 93
Granja De Freitas
78311-163 das Neves das Pedras / MG";Aeroporto;('RR', 'Roraima');Alagoas;AM;+55 79 9 2172 4380;Cuba;IE;"VISA 16 digit
Emanuella Lopes
4549082420142729 06/27
CVC: 420
";5210865886342469;01/27;386;2008-11-03;1999-10-25 04:29:17;2025-07-31
71;Alícia Rocha;581.623.970-86;cdias@example.com;"Praia Stella Campos, 99
Pongelupe
92667-694 Peixoto / SE";Miramar;('RS', 'Rio Grande do Sul');Maranhão;AP;+55 (03) 95420 3835;Nicarágua;IQ;"VISA 16 digit
Thales Lopes
4598138469168502 02/34
CVC: 642
";3522988646881358;10/31;234;2009-01-13;1995-01-31 01:03:56;2025-07-31
72;Sra. Isis Farias;735.694.208-92;da-luzjoaquim@example.com;"Vila Rezende, 22
Monte Azul
19371-026 Moraes da Mata / MT";Vila Nova Dos Milionarios;('SC', 'Santa Catarina');Santa Catarina;PB;+55 40 9 0539-7888;Samoa;UA;"JCB 16 digit
Thales Rezende
3599418257001664 03/31
CVC: 614
";6011636081988490;01/33;395;2022-06-29;2000-06-26 07:28:28;2025-07-31
73;Rebeca Gomes;853.679.024-56;mvieira@example.org;"Setor Ana Julia Santos, 7
São Bernardo
65907360 Campos de Azevedo / PE";Novo Aarão Reis;('AL', 'Alagoas');Piauí;MS;+55 18 9 1998-8385;Território Britânico do Oceano Índico;GM;"Diners Club / Carte Blanche
Letícia Duarte
30389550728381 08/29
CVC: 806
";2259648153902457;04/29;757;1992-01-08;2006-12-13 16:07:43;2025-07-31
74;Ana Carolina Correia;351.076.942-25;yasminfreitas@example.org;"Campo Marina Oliveira, 6
Santa Efigênia
38988952 Moura do Oeste / AL";Esplanada;('SE', 'Sergipe');Maranhão;MG;+55 (046) 91700 0780;Croácia;GD;"Mastercard
Clarice Peixoto
2464411632999516 07/30
CVV: 818
";3548955104421175;11/32;379;1993-01-18;2004-12-05 19:22:53;2025-07-31
75;Davi Lucca Cavalcanti;572.190.864-58;xcaldeira@example.com;"Estação de Pereira, 15
Belmonte
34533-155 Novaes / PA";Nossa Senhora Do Rosário;('CE', 'Ceará');Amapá;PE;+55 (40) 94325-4762;Equador;PS;"JCB 16 digit
Bernardo Rezende
3548560888825615 06/35
CVC: 153
";4176288008465339471;08/32;557;1982-03-05;2015-03-31 11:06:56;2025-07-31
76;Ana Laura Costela;168.972.450-11;henriquemendes@example.com;"Viaduto Moraes
Biquinhas
57572599 Ramos / ES";Xodo-Marize;('AL', 'Alagoas');Roraima;PI;+55 (99) 9 1391 1618;Irlanda;DK;"American Express
Emilly Alves
371887224731233 01/34
CID: 9461
";36322492059593;07/28;6566;2014-04-07;1991-04-28 09:46:05;2025-07-31
77;Arthur da Conceição;205.498.716-67;fernanda62@example.net;"Praça Ana Julia da Cunha, 2
Vila Paris
97930-524 da Mota das Flores / DF";Bela Vitoria;('MT', 'Mato Grosso');Piauí;RN;+55 (022) 93114-9385;Costa Rica;IT;"JCB 15 digit
Cauã Correia
213199549509993 11/30
CVC: 689
";2260146449328451;06/27;433;1997-08-29;1988-01-19 17:53:40;2025-07-31
78;Luigi Cardoso;813.250.796-77;oda-rocha@example.com;"Conjunto Raul Campos, 89
Venda Nova
57901-559 Farias / AP";Vera Cruz;('ES', 'Espírito Santo');Roraima;PA;+55 (067) 98275-6043;Tanzânia;HT;"JCB 16 digit
Esther Rocha
3584058105026187 02/28
CVC: 869
";3545181105746295;11/27;990;1994-11-17;1995-04-18 23:27:28;2025-07-31
79;Julia Vieira;178.692.503-68;rebeca00@example.org;"Passarela de Pinto, 50
Baleia
93002846 Silveira / ES";Cdi Jatoba;('PR', 'Paraná');Rio Grande do Norte;MS;+55 (11) 9 1807-7181;Catar;IN;"Diners Club / Carte Blanche
Raquel Melo
38342996123743 10/31
CVC: 187
";3567992377805293;12/28;589;2014-06-25;1972-12-14 06:46:48;2025-07-31
80;Luiz Gustavo Rocha;735.290.146-99;ugoncalves@example.org;"Praça de Ferreira, 724
Castelo
12898-067 Vieira / DF";Nazare;('MA', 'Maranhão');Rio de Janeiro;MG;+55 57 9 6858 5926;Cazaquistão;KI;"VISA 16 digit
Bárbara Oliveira
4721560439236764 12/28
CVC: 301
";4131117773156140700;12/25;233;2005-12-20;1980-07-08 12:41:26;2025-07-31
81;Olivia Santos;975.082.316-86;carolina12@example.net;"Lago Ana da Luz, 988
Indaiá
67754248 Pinto do Campo / AL";Vila Nossa Senhora Do Rosário;('SP', 'São Paulo');Amazonas;CE;+55 (43) 96691 2453;Albânia;BI;"VISA 16 digit
Marcos Vinicius Costela
4155967327140302 08/30
CVC: 845
";4424189169859429;03/26;916;1971-01-27;1980-01-21 01:08:46;2025-07-31
82;Dr. Leandro Ribeiro;367.289.105-30;maria-luizaramos@example.net;"Parque de Teixeira, 73
Vila Aeroporto
05911-435 Novaes da Mata / SP";Itapoa;('RS', 'Rio Grande do Sul');Minas Gerais;PA;+55 (02) 9 7483-9490;Andorra;VE;"American Express
Yuri Souza
373158758622612 10/28
CID: 7450
";6011280042097453;02/32;671;2020-02-11;1971-02-03 12:59:47;2025-07-31
83;Nina Fogaça;134.825.079-88;moreirasabrina@example.net;"Pátio da Cunha, 616
Estoril
90752-550 Gomes de Goiás / AM";Vila Bandeirantes;('ES', 'Espírito Santo');Pernambuco;MG;+55 (000) 98771 9648;Geórgia do Sul e Sandwich do Sul;FJ;"VISA 19 digit
Brenda Lopes
4354124339227295250 02/30
CVC: 529
";2720266375998913;03/35;817;2017-07-04;2011-12-26 04:09:22;2025-07-31
84;Maria Eduarda da Cruz;259.641.738-37;emanuellada-paz@example.net;"Loteamento Eloah Sales, 778
Santo André
82632-896 Pinto / SP";São Vicente;('PA', 'Pará');Goiás;SE;+55 (55) 97873-0098;República Centro-Africana;AG;"Mastercard
Ana Carolina Fogaça
2515184027228135 11/31
CVV: 166
";675904118774;02/30;633;2007-06-28;1970-01-06 13:41:18;2025-07-31
85;Ana Carolina Novaes;097.613.845-00;ana-claragoncalves@example.org;"Travessa Emanuelly Peixoto, 557
Nazare
63199233 Nogueira do Campo / AL";Solar Do Barreiro;('MG', 'Minas Gerais');Bahia;ES;+55 (71) 9 3207-2542;Kuwait;CY;"JCB 16 digit
Ana Beatriz Jesus
3523403857927329 02/31
CVC: 706
";2297681272116125;06/32;068;1988-09-15;1995-08-25 17:07:01;2025-07-31
86;Sofia Moura;680.352.147-80;andre88@example.com;"Colônia de Barros, 11
Prado
34996872 Duarte / AL";Vila Inestan;('PI', 'Piauí');Sergipe;RS;+55 (029) 97883 9448;Moçambique;FJ;"Mastercard
Levi Almeida
2281299240945182 02/34
CVV: 882
";372516578877693;01/30;497;1988-12-13;2019-10-11 11:20:59;2025-07-31
87;Julia Freitas;317.948.652-09;rezendemariane@example.net;"Largo de Ramos, 57
Caiçara - Adelaide
25859-632 Ramos da Prata / MG";Xangri-Lá;('PE', 'Pernambuco');Roraima;GO;+55 78 99587 2920;Letônia;UY;"JCB 16 digit
Thiago Gonçalves
3586415348309770 06/29
CVC: 441
";3508573878236345;07/26;850;2014-04-29;1984-04-30 12:03:48;2025-07-31
88;Dr. Isaac Pinto;564.213.098-60;oliveirafelipe@example.org;"Feira de Rocha, 45
São Jorge 1ª Seção
89314922 da Cruz do Oeste / AP";Maria Virgínia;('MA', 'Maranhão');Amapá;MS;+55 55 97895-4977;Etiópia;LA;"JCB 16 digit
Samuel da Paz
3574165797123271 01/34
CVC: 671
";4113516026782533;01/28;625;1975-05-27;1986-06-26 21:35:20;2025-07-31
89;Vinicius Monteiro;672.859.410-85;diassamuel@example.org;"Condomínio de Teixeira, 924
Andiroba
11454705 da Paz de Cardoso / RO";Pirineus;('SP', 'São Paulo');Amazonas;MS;+55 (78) 91484-6657;Cabo Verde;SE;"VISA 16 digit
Olivia Cardoso
4569931102007201 08/33
CVC: 955
";4803314422576828164;05/28;452;1970-06-15;2007-07-24 19:36:05;2025-07-31
90;Augusto Dias;978.320.416-50;moraestheo@example.org;"Ladeira Ramos, 10
Varzea Da Palma
60525193 Porto da Mata / SP";Sion;('SP', 'São Paulo');Minas Gerais;RS;+55 62 92805 3406;Maldivas;MW;"VISA 13 digit
André Araújo
4460440784900 04/29
CVC: 411
";3598131101557218;12/25;260;2002-09-16;2023-05-22 15:57:30;2025-07-31
91;Lavínia Monteiro;962.178.503-03;kramos@example.net;"Travessa de Oliveira, 980
Bandeirantes
64720-367 Freitas dos Dourados / MA";Cidade Nova;('AM', 'Amazonas');Mato Grosso;AP;+55 (84) 90076-2324;Costa do Marfim;MV;"JCB 16 digit
Laís Oliveira
3548991517169689 04/32
CVC: 230
";4038027945803;01/31;668;1976-04-15;2018-11-06 09:42:28;2025-07-31
92;Caio Moreira;941.586.723-09;theo30@example.com;"Parque Monteiro, 28
Vila Madre Gertrudes 2ª Seção
39641-216 Cunha de Ramos / RN";Rio Branco;('RR', 'Roraima');Roraima;SP;+55 (32) 99193 9895;Uruguai;PK;"Maestro
Emanuella Duarte
630443261379 08/28
CVV: 233
";30599829852214;08/29;378;1978-02-01;2014-09-01 23:18:01;2025-07-31
93;Dra. Sophia Farias;865.917.403-84;acaldeira@example.org;"Rodovia Nina Azevedo, 32
Santa Terezinha
68498549 Monteiro / MG";Cônego Pinheiro 1ª Seção;('SC', 'Santa Catarina');Rio Grande do Sul;PE;+55 57 9 6388-6000;Senegal;TH;"Mastercard
Clara da Luz
2660026328633955 01/33
CVV: 861
";346061424174329;06/31;8808;2022-02-16;2020-10-08 00:06:51;2025-07-31
94;Ana Beatriz Farias;317.849.520-79;pedrorodrigues@example.com;"Passarela Olivia Silva, 9
Trevo
37035-500 Lopes de Goiás / RJ";Barroca;('RS', 'Rio Grande do Sul');Sergipe;AC;+55 (98) 9 0370-0777;Paquistão;CF;"Maestro
Isis Cardoso
630466589482 08/30
CVV: 306
";3509633436053142;08/25;211;2023-03-16;1977-11-23 05:51:56;2025-07-31
95;Gustavo Santos;258.639.014-89;davi-luiz43@example.net;"Aeroporto Julia Moraes, 3
Lajedo
60230-275 Rodrigues da Prata / PE";Chácara Leonina;('PE', 'Pernambuco');Goiás;PB;+55 (096) 96296-7987;Território Britânico do Oceano Índico;CL;"VISA 16 digit
Kaique Aragão
4367904014717872 11/31
CVC: 826
";502019285613;02/27;516;2011-11-21;2022-11-24 09:35:21;2025-07-31
96;Vitor Nascimento;182.703.456-44;wpires@example.org;"Vila da Cruz
Madre Gertrudes
55211153 Costela / RO";Vila Copasa;('PI', 'Piauí');São Paulo;RJ;+55 78 91888 4887;Libéria;LC;"VISA 16 digit
Alícia Moura
4552610897926697 09/27
CVC: 026
";583552424835;04/35;460;2022-02-01;1984-01-12 22:13:38;2025-07-31
97;Davi Pereira;584.321.907-05;mirella46@example.net;"Distrito de Monteiro
Vila Calafate
56220-964 Almeida da Mata / MS";Vila Santo Antônio;('MG', 'Minas Gerais');Pernambuco;DF;+55 (93) 9 1290-6470;Anguila;AO;"VISA 13 digit
Emanuelly Costela
4835799111617 08/27
CVC: 835
";30473427477347;01/29;683;1975-02-10;1983-08-17 14:51:58;2025-07-31
98;Bruno Costa;684.953.712-19;enzo-gabrielduarte@example.org;"Residencial de Gomes, 5
Conjunto Serra Verde
80944-130 Peixoto / MA";Vila Madre Gertrudes 4ª Seção;('SP', 'São Paulo');Sergipe;RS;+55 00 91535 2283;Pitcairn;BZ;"Discover
Isaac Gomes
6541234736218775 10/33
CVC: 297
";4923148548265175;09/27;214;2006-10-10;1977-07-17 07:58:11;2025-07-31
99;Murilo Melo;963.870.415-20;da-rosanina@example.com;"Condomínio de Aragão, 5
Ouro Preto
79602-120 Carvalho / MS";Nossa Senhora De Fátima;('MS', 'Mato Grosso do Sul');Sergipe;GO;+55 (007) 97409 2930;Andorra;CV;"Diners Club / Carte Blanche
Davi Luiz Novaes
30515878103630 09/32
CVC: 627
";3528910338170241;11/27;483;2000-09-25;2009-10-02 17:22:58;2025-07-31 
